警		ことば けい ケイ ごんべん げん ゲン いましめる
鶏	鷄	にわとり とり けい ケイ とりへん
芸	藝	そうこう うえる ウン うん げい のり ゲイ わざ くさ くさかんむり
迎		げい しんにゅう しんにょう むかえる ゲイ
鯨		くじら うお げい さかな ゲイ うおへん
隙		ひま げき きゃく キャク ケキ おか けき すかす こざとへん ゲキ すき すく
劇		げき かたな ゲキ りっとう
撃	擊	うつ げき てへん て ゲキ
激		げき さんずい はげしい したみず みず ゲキ
桁		き けた こう コウ きへん
欠	缺	かく かける けん ケツ あくび けつ ケン
穴		けつ あなかんむり ケツ あな
血		けつ ケツ ち
決		さんずい きめる きまる ぎめ したみず ケツ みず けつ さく
結		ゆわえる ケチ いとへん いと ケツ むすぶ けつ ゆう けち
傑		にんべん ひとがしら ひとやね ケツ すぐれる ひと けつ
潔		さんずい したみず いさぎよい ケツ みず けつ
月		ふなづき ゲツ つきへん つき がつ ガツ げつ
犬		けん けものへん ケン いぬ
件		にんべん ひとがしら ひとやね けん ひと ケン くだん
見		みせる みえる けん みる ケン
券		けん かたな りっとう ケン
肩		にくづき けん かた ニク にく ケン
建		えんにゅう たて こん いんにょう コン えんにょう たつ けん だて たてる ケン
研	硏	いしへん けん とぐ いし ケン
県	縣	め よこめ めへん かける けん ケン
倹	儉	にんべん ひとがしら つましい ひとやね けん ひと つづまやか ケン
兼		はち ハチ かねる けん はちがしら ケン
剣	劍	つるぎ けん かたな りっとう ケン
拳		てへん こぶし げん けん ゲン て ケン
軒		くるま くるまへん けん ケン のき
健		すこやか にんべん ひとがしら ひとやね けん ひと ケン
険	險	おか けわしい けん こざとへん ケン
圏	圈	かこい ケン けん くにがまえ
堅		つちへん かたい けん がたい つち ケン
検	檢	き しらべる けん ケン きへん
嫌		おんな げん けん ゲン いや きらい おんなへん きらう ケン
献	獻	こん いぬ コン けん けものへん たてまつる ケン
絹		いとへん けん いと きぬ ケン
